94;0.306;4.3
94;0.306;4.4
94;0.306;4.4
94;0.306;4.4
94;0.306;4.4
94;0.306;4.4
94;0.306;4.4
95;0.344;4.4
95;0.344;4.4
95;0.344;4.4
96;0.392;4.5
96;0.392;4.5
96;0.392;4.6
97;0.45;4.6
97;0.45;4.8
98;0.519;4.9
98;0.519;5
99;0.597;5.3
99;0.597;5.3
100;0.686;5.4
101;0.782;5.4
101;0.782;5.3
100;0.686;4.8
100;0.686;4.4
99;0.597;4.1
98;0.519;4
99;0.597;3.9
99;0.597;3.9
99;0.597;3.9
100;0.686;3.9
100;0.686;3.9
101;0.782;3.9
101;0.782;3.9
101;0.782;4
101;0.782;4
102;0.879;4
102;0.879;4.1
102;0.879;4.1
103;0.98;4.3
103;0.98;4.3
103;0.98;4.4
104;1.08;4.5
105;1.19;4.5
106;1.3;4.5
107;1.41;4.5
108;1.52;4.4
106;1.3;4.3
105;1.19;4
103;0.98;3.9
101;0.782;3.8
101;0.782;3.6
101;0.782;3.6
101;0.782;3.5
101;0.782;3.5
102;0.879;3.5
102;0.879;3.5
102;0.879;3.5
103;0.98;3.6
103;0.98;3.6
103;0.98;3.6
104;1.08;3.8
104;1.08;3.8
105;1.19;3.9
106;1.3;3.9
106;1.3;4
107;1.41;4.1
109;1.64;4.1
110;1.76;4.3
111;1.88;4.3
111;1.88;4.3
109;1.64;4
105;1.19;3.8
102;0.879;3.5
100;0.686;3.4
100;0.686;3.3
100;0.686;3.3
100;0.686;3.3
100;0.686;3.3
101;0.782;3.3
101;0.782;3.3
101;0.782;3.4
101;0.782;3.4
102;0.879;3.4
102;0.879;3.5
102;0.879;3.5
103;0.98;3.6
103;0.98;3.6
103;0.98;3.8
104;1.08;3.8
104;1.08;3.9
105;1.19;3.9
105;1.19;4
105;1.19;3.9
104;1.08;3.8
102;0.879;3.5
100;0.686;3.4
98;0.519;3.1
98;0.519;3
97;0.45;2.9
98;0.519;2.9
98;0.519;2.9
98;0.519;3
98;0.519;3
98;0.519;3
98;0.519;3.1
99;0.597;3.1
99;0.597;3.3
99;0.597;3.3
99;0.597;3.4
99;0.597;3.5
99;0.597;3.5
99;0.597;3.6
99;0.597;3.6
100;0.686;3.8
100;0.686;3.8
100;0.686;3.8
100;0.686;3.6
100;0.686;3.5
99;0.597;3.4
99;0.597;3.1
99;0.597;2.9
97;0.45;2.8
98;0.519;2.6
98;0.519;2.6
99;0.597;2.6
99;0.597;2.8
99;0.597;2.8
100;0.686;2.9
100;0.686;2.9
101;0.782;3
101;0.782;3
101;0.782;3.1
102;0.879;3.1
102;0.879;3.1
102;0.879;3.3
103;0.98;3.4
103;0.98;3.4
104;1.08;3.5
104;1.08;3.5
105;1.19;3.5
105;1.19;3.5
104;1.08;3.5
103;0.98;3.5
102;0.879;3.4
101;0.782;3.3
100;0.686;3.1
98;0.519;2.9
98;0.519;2.8
98;0.519;2.8
99;0.597;2.6
99;0.597;2.6
99;0.597;2.5
100;0.686;2.5
100;0.686;2.5
100;0.686;2.5
101;0.782;2.6
101;0.782;2.6
102;0.879;2.6
102;0.879;2.6
102;0.879;2.8
103;0.98;2.8
103;0.98;2.9
104;1.08;2.9
104;1.08;3
104;1.08;3
104;1.08;3
102;0.879;2.9
101;0.782;2.8
100;0.686;2.5
99;0.597;2.4
98;0.519;2.3
98;0.519;2.1
98;0.519;2
98;0.519;2
98;0.519;1.9
97;0.45;1.9
97;0.45;1.8
97;0.45;1.6
97;0.45;1.6
97;0.45;1.5
96;0.392;1.5
96;0.392;1.4
